"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"CD9",8.59949884488438e-19,0.682001712868952,0.95,0.907,2.26828981031515e-14,0.682001712868952,"CD9"
"EFHD1",9.87810461493306e-19,-0.381783638645209,0.194,0.413,2.60554765428089e-14,-0.381783638645209,"EFHD1"
"GPX1",1.3231764163162e-18,0.595963375132425,0.737,0.505,3.49014243331723e-14,0.595963375132425,"GPX1"
"SRP14",1.43248701564325e-18,0.439730413314372,0.923,0.875,3.7784710011622e-14,0.439730413314372,"SRP14"
"TMEM176B",1.86478411766833e-18,0.520145187745561,0.412,0.146,4.91874106717376e-14,0.520145187745561,"TMEM176B"
"CUTA",1.89479508879086e-18,0.477974084978279,0.766,0.598,4.99790100570365e-14,0.477974084978279,"CUTA"
"CST3",2.34297857409874e-18,0.404637390255958,0.995,1,6.18007458490025e-14,0.404637390255958,"CST3"
"EFEMP1",2.3631645221017e-18,-0.403364810058404,0.275,0.512,6.23331905994765e-14,-0.403364810058404,"EFEMP1"
"EPHX1",2.81714925715691e-18,-0.463961819584351,0.824,0.915,7.43079459560278e-14,-0.463961819584351,"EPHX1"
"TIMP1",4.77515781600102e-18,0.567164264324114,0.814,0.641,1.25954337712659e-13,0.567164264324114,"TIMP1"
"TMEM176A",5.42321724386549e-18,0.591767403736062,0.406,0.153,1.4304820124144e-13,0.591767403736062,"TMEM176A"
"ATP6V0C",6.96693481438807e-18,0.527912181875608,0.663,0.427,1.83766839599114e-13,0.527912181875608,"ATP6V0C"
"ANXA2",7.9888782589756e-18,0.60927671371413,0.953,0.922,2.10722641836999e-13,0.60927671371413,"ANXA2"
"SYT8",1.20110382983624e-17,0.75419151467321,0.288,0.05,3.16815157195905e-13,0.75419151467321,"SYT8"
"FXYD3",1.20672461638403e-17,0.497618862060124,0.914,0.833,3.18297752063615e-13,0.497618862060124,"FXYD3"
"FKBP2",1.72624830866771e-17,0.508675000502648,0.792,0.637,4.55332516377283e-13,0.508675000502648,"FKBP2"
"TMSB10",1.73950986879513e-17,0.624794991861128,0.985,0.982,4.58830518092091e-13,0.624794991861128,"TMSB10"
"ARPC1B",2.53671046882223e-17,0.482602241242188,0.483,0.221,6.6910812036124e-13,0.482602241242188,"ARPC1B"
"ATP5E",2.82792569481707e-17,0.423005162816808,0.966,0.964,7.45921960521899e-13,0.423005162816808,"ATP5E"
"LYNX1",3.16293715852705e-17,0.988790949194053,0.339,0.103,8.34287934304681e-13,0.988790949194053,"LYNX1"
"APLP2",3.55437123013067e-17,0.495664046922934,0.674,0.441,9.37536499371567e-13,0.495664046922934,"APLP2"
"SH3BGRL3",3.84326207673446e-17,0.486294658050076,0.59,0.317,1.01373723798025e-12,0.486294658050076,"SH3BGRL3"
"GABARAP",4.67877588350111e-17,0.474696873045326,0.904,0.833,1.23412071479109e-12,0.474696873045326,"GABARAP"
"CD99",5.5543476783845e-17,0.442501488605703,0.547,0.285,1.46507028712748e-12,0.442501488605703,"CD99"
"S100A4",6.12299109842732e-17,0.969179784061575,0.496,0.242,1.61506136203217e-12,0.969179784061575,"S100A4"
"HSPB1",8.24719225271664e-17,0.602970840399269,0.852,0.737,2.17536190049907e-12,0.602970840399269,"HSPB1"
"TPI1",8.80091548552581e-17,0.483854481378647,0.789,0.598,2.32141747761714e-12,0.483854481378647,"TPI1"
"PDLIM4",9.2675070283303e-17,0.415421156388565,0.355,0.114,2.44449032886268e-12,0.415421156388565,"PDLIM4"
"C4orf48",9.26962838698221e-17,0.496420306861724,0.318,0.082,2.4450498796343e-12,0.496420306861724,"C4orf48"
"SSR4",1.33966698940683e-16,0.530135037523224,0.972,0.954,3.53363961795839e-12,0.530135037523224,"SSR4"
"LMNA",1.51891259076078e-16,0.539679804202525,0.577,0.331,4.00643574064972e-12,0.539679804202525,"LMNA"
"ARL6IP5",1.57074391359089e-16,0.458879040196947,0.496,0.246,4.1431512208787e-12,0.458879040196947,"ARL6IP5"
"MT-ND2",1.57394782210858e-16,0.51558220662664,0.976,0.954,4.15160217037579e-12,0.51558220662664,"MT-ND2"
"EPAS1",1.57618873625866e-16,-0.504761670699642,0.39,0.601,4.15751302962947e-12,-0.504761670699642,"EPAS1"
"C19orf33",1.78174318821306e-16,0.539120566704305,0.911,0.843,4.69970400754958e-12,0.539120566704305,"C19orf33"
"LY6D",1.88299369240318e-16,1.05878379159909,0.263,0.043,4.96677246245188e-12,1.05878379159909,"LY6D"
"S100A2",2.2438881357037e-16,1.63328668702481,0.477,0.249,5.91870373554565e-12,1.63328668702481,"S100A2"
"CALR",2.51071100731203e-16,0.585685356252637,0.729,0.555,6.62250242398693e-12,0.585685356252637,"CALR"
"MS4A8",2.64557022571679e-16,0.598189461838761,0.436,0.192,6.97822058437317e-12,0.598189461838761,"MS4A8"
"WNK2",2.97901461333288e-16,-0.321516954768576,0.192,0.399,7.85774684558814e-12,-0.321516954768576,"WNK2"
"PKM",3.23663998598902e-16,0.515991203613155,0.822,0.694,8.53728529104323e-12,0.515991203613155,"PKM"
"BCAP31",4.33481416353221e-16,0.452991677104298,0.596,0.384,1.14339393191489e-11,0.452991677104298,"BCAP31"
"UBL5",4.34206002145649e-16,0.433789422998153,0.857,0.751,1.14530517185958e-11,0.433789422998153,"UBL5"
"RPL41",4.55820934384569e-16,0.441207105242682,0.983,0.968,1.20231887862618e-11,0.441207105242682,"RPL41"
"MUC5B",4.5736254316973e-16,1.04353162542899,0.801,0.722,1.2063851801188e-11,1.04353162542899,"MUC5B"
"TXN",5.06957717881268e-16,0.653816589034104,0.902,0.847,1.33720237245542e-11,0.653816589034104,"TXN"
"LYZ",5.31705686237549e-16,-0.451623868584456,0.094,0.253,1.40248008858878e-11,-0.451623868584456,"LYZ"
"CYP4B1",6.01971136573393e-16,-0.573716717414086,0.797,0.875,1.58781926693964e-11,-0.573716717414086,"CYP4B1"
"DUSP2",6.21285233326402e-16,-0.37827957601453,0.047,0.171,1.63876405994505e-11,-0.37827957601453,"DUSP2"
"HSP90AB1",6.45507265318059e-16,0.537106699296821,0.818,0.733,1.70265451372945e-11,0.537106699296821,"HSP90AB1"
"ROMO1",6.95183246891438e-16,0.434155365482432,0.769,0.591,1.83368485032554e-11,0.434155365482432,"ROMO1"
"TXNDC17",1.04482324720017e-15,0.447933459586797,0.52,0.278,2.75593027913989e-11,0.447933459586797,"TXNDC17"
"RP11-355F16.1",1.07061497865266e-15,-0.427518671767181,0.224,0.431,2.82396112919211e-11,-0.427518671767181,"RP11-355F16.1"
"CHCHD2",1.07095098949403e-15,0.468798523124216,0.891,0.815,2.82484742498839e-11,0.468798523124216,"CHCHD2"
"SKP1",1.12857881521097e-15,0.427207246864347,0.877,0.783,2.97685234088198e-11,0.427207246864347,"SKP1"
"HSP90B1",1.78328141548274e-15,0.588281711474711,0.738,0.594,4.70376138961883e-11,0.588281711474711,"HSP90B1"
"CYBA",1.78724511905147e-15,0.523318891965306,0.774,0.584,4.71421645052205e-11,0.523318891965306,"CYBA"
"NDUFS8",2.45448208912138e-15,0.430135550608228,0.635,0.434,6.47418740647548e-11,0.430135550608228,"NDUFS8"
"WDR83OS",2.98406108114034e-15,0.433779054899258,0.762,0.623,7.87105791372386e-11,0.433779054899258,"WDR83OS"
"RHOA",3.42366275300345e-15,0.460894410552549,0.795,0.648,9.03059524359721e-11,0.460894410552549,"RHOA"
"TRMT112",3.42676589515267e-15,0.425872218029974,0.515,0.281,9.0387804016442e-11,0.425872218029974,"TRMT112"
"PERP",4.38728932218338e-15,0.464856582764367,0.84,0.73,1.15723530451231e-10,0.464856582764367,"PERP"
"CTNNB1",5.46760355812726e-15,0.432967079361737,0.47,0.235,1.44218979052723e-10,0.432967079361737,"CTNNB1"
"GNG5",6.54168434736894e-15,0.475279857131333,0.79,0.669,1.72550008030551e-10,0.475279857131333,"GNG5"
"ATP6V1B1",7.16716636260083e-15,-0.286454089733684,0.11,0.274,1.89048347146322e-10,-0.286454089733684,"ATP6V1B1"
"ACTG1",1.00730161662797e-14,0.415974254346106,0.978,0.961,2.65695947417958e-10,0.415974254346106,"ACTG1"
"C8orf4",1.3279657916531e-14,0.551964117271476,0.392,0.146,3.50277536864337e-10,0.551964117271476,"C8orf4"
"MYL12B",1.43197345607006e-14,0.448456425178779,0.906,0.868,3.77711638507601e-10,0.448456425178779,"MYL12B"
"AGR3",1.45471663650682e-14,0.621613962654209,0.67,0.47,3.83710607211405e-10,0.621613962654209,"AGR3"
"CYP2J2",2.63340211303141e-14,-0.363331977971713,0.269,0.463,6.94612475354294e-10,-0.363331977971713,"CYP2J2"
"MGST3",3.40671877148628e-14,0.412522953655188,0.484,0.256,8.98590210354935e-10,0.412522953655188,"MGST3"
"MT-ND5",3.60705049154128e-14,0.472433285288829,0.975,0.961,9.51431708153844e-10,0.472433285288829,"MT-ND5"
"LAMB3",3.61171746823467e-14,0.375570487568592,0.277,0.071,9.52662716596258e-10,0.375570487568592,"LAMB3"
"CLTB",3.86241416626195e-14,0.430157000843381,0.472,0.242,1.01878898463492e-09,0.430157000843381,"CLTB"
"SPCS1",3.88483638026543e-14,0.414959910905927,0.713,0.559,1.02470329202261e-09,0.414959910905927,"SPCS1"
"SFTA2",4.18039688361112e-14,0.497149347966739,0.227,0.032,1.1026632859901e-09,0.497149347966739,"SFTA2"
"NCOA7",4.98708784725142e-14,-0.492951404683759,0.361,0.569,1.31544416146951e-09,-0.492951404683759,"NCOA7"
"RABAC1",5.36645210120108e-14,0.453089438039268,0.716,0.559,1.41550907073381e-09,0.453089438039268,"RABAC1"
"KRT8",6.27661629202812e-14,0.632048096766447,0.818,0.655,1.65558307934826e-09,0.632048096766447,"KRT8"
"LDHA",6.78931815108982e-14,0.449533308183257,0.66,0.477,1.79081844871296e-09,0.449533308183257,"LDHA"
"ACTB",7.02756582273709e-14,0.526877267172755,0.992,0.996,1.85366103706336e-09,0.526877267172755,"ACTB"
"LAMTOR2",8.25794704976203e-14,0.360311005044867,0.407,0.181,2.17819869331573e-09,0.360311005044867,"LAMTOR2"
"TPM4",9.14036673917402e-14,0.432301866535064,0.571,0.363,2.41095453479193e-09,0.432301866535064,"TPM4"
