Compound ID	SMILES
KV-00041001	NCCCC[C@H](NC(=O)C(F)(F)F)C(=O)O
KV-00041002	CC(C)(C)C(=O)/C=C1/Nc2cc([N+](=O)[O-])ccc2NC1=O
KV-00041003	O=C(NCCc1ccccc1)Oc1ccc(Cl)cc1
KV-00041004	CNc1cc(=O)n(-c2ccccc2)c(=O)n1-c1ccccc1
KV-00041005	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1ccccc1Cl)C(F)(F)F
KV-00041006	CCOC(=O)NC(Nc1cccc(F)c1)(C(=O)OCC)C(F)(F)F
KV-00041007	CCN(CC)C(=O)c1cccc2c1C(=O)c1ccccc1-2
KV-00041008	O=[N+]([O-])c1ccc2c(c1)C(=NO)c1cc([N+](=O)[O-])ccc1-2
KV-00041009	OC(c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1
KV-00041010	O=C1C=C(Nc2ccccc2O)c2ccccc2C1=O
KV-00041011	O=c1c(Cc2ccccc2OCc2ccccc2)coc2ccccc12
KV-00041012	CN1C(=O)C(=Cc2ccccc2)C(=O)N(C)C1=O
KV-00041013	O[C@H]1C2C3CC4C5C3C1C5C1(OCCO1)C42
KV-00041014	Cn1c(=O)c2c(O)cc(=O)oc2c2ccccc21
KV-00041015	Cn1c(N)c(C#N)c2ccc([N+](=O)[O-])cc2c1=O
KV-00041016	CCCCSc1cc2c(c([N+](=O)[O-])c1)-c1c(cc(SCCCC)cc1[N+](=O)[O-])C2=O
KV-00041017	O=C1C(Nc2ccccc2)=CC(c2ccc([N+](=O)[O-])cc2)N1c1ccccc1
KV-00041018	Cn1c(=O)c([N+](=O)[O-])c(O)c2ccccc21
KV-00041019	CCOC(=O)/C(C#N)=C(\Nc1ccc(C(=O)OCC)cc1)SC
KV-00041020	FC(F)(F)c1cccc(-c2nc3ccccn3n2)c1
KV-00041021	O=[N+]([O-])c1ccccc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
KV-00041022	CCN(CC)S(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)N(CC)CC)ccc1-2
KV-00041023	CN(C)S(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1-2
KV-00041024	CC1(C)O[C@H]2O[C@H](C(O)CO)[C@H](O)[C@H]2O1
KV-00041025	Cc1ccc(S(=O)(=O)Nc2ccc3ncccc3c2)cc1
KV-00041026	CCOC(=O)/C(C#N)=C(\NC)SC
KV-00041027	Oc1c(CN2CCOCC2)ccc2ccccc12
KV-00041028	O=C1c2ccccc2C(=O)C1C1c2ccccc2Oc2ccccc21
KV-00041029	CC(C)(C)NCC(O)Cn1c2ccccc2c2ccccc21
KV-00041030	COc1ccc(-c2c(N)n(Cc3ccccc3)c(=O)c3cc([N+](=O)[O-])ccc23)cc1OC
KV-00041031	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
KV-00041032	O=C1C2C3CC4C5C3C1C5C1(OCCO1)C42
KV-00041034	O=C1c2ccccc2OCC1c1ccccc1
KV-00041035	COc1ccccc1-c1coc2ccccc2c1=O
KV-00041036	NNC(=O)c1nn(-c2ccccc2)c(=O)cc1O
KV-00041037	CC1(C)OC(=O)C(=C2C3CC4CC(C3)CC2C4)C(=O)O1
KV-00041038	COC(=O)C1(C(=O)OC)C2C3C4CC5C6C4C2C6C1C53
KV-00041039	Cn1c(C(C#N)C(=O)c2ccccc2I)nc2ccccc21
KV-00041040	CCN(CC)CC(O)Cn1c2ccccc2c2ccccc21
KV-00041041	Cc1c(N=C2C=C(C(C)C)C(=O)C(C(C)C)=C2)c(=O)n(-c2ccccc2)n1C
KV-00041042	COC(=O)CCC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
