"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"RRBP1",5.52454081271054e-08,0.434413610480357,0.635,0.418,0.00145720813016866,0.434413610480357,"RRBP1"
"ZFAS1",5.78338289075064e-08,-0.415397665182569,0.71,0.801,0.0015254829050933,-0.415397665182569,"ZFAS1"
"PTMA",6.0164809759966e-08,0.434272164503632,0.995,0.995,0.00158696718703862,0.434272164503632,"PTMA"
"PRDX2",6.47087106813567e-08,0.402015334325782,0.654,0.48,0.00170682166164215,0.402015334325782,"PRDX2"
"S100A10",6.55641472716335e-08,0.462485525237443,0.972,0.969,0.00172938551258388,0.462485525237443,"S100A10"
"POSTN",6.75931141023758e-08,1.15173688898985,0.405,0.189,0.00178290357067837,1.15173688898985,"POSTN"
"HMCN1",7.28675564972207e-08,0.466125969808972,0.563,0.357,0.00192202753772719,0.466125969808972,"HMCN1"
"PER3",7.78139473628724e-08,0.305479126042226,0.234,0.061,0.00205249848959048,0.305479126042226,"PER3"
"CSGALNACT2",7.84982530240316e-08,0.32663084786353,0.25,0.077,0.00207054842001488,0.32663084786353,"CSGALNACT2"
"MT-ND4",8.11310867334322e-08,0.416897517260785,0.999,0.954,0.00213999467476774,0.416897517260785,"MT-ND4"
"RPS19",8.18409568665406e-08,-0.42481491975906,0.989,0.995,0.00215871891926874,-0.42481491975906,"RPS19"
"CCND2",8.41503579821462e-08,0.386296931368999,0.284,0.102,0.00221963399249507,0.386296931368999,"CCND2"
"CALU",9.60784926609442e-08,0.38318317872311,0.667,0.464,0.00253426240091772,0.38318317872311,"CALU"
"TPPP3",9.61458992182187e-08,0.386482543273392,0.234,0.061,0.00253604038367895,0.386482543273392,"TPPP3"
"FN1",9.71993104907535e-08,0.415640659926193,0.975,0.832,0.0025638262128146,0.415640659926193,"FN1"
"NPC2",1.0473315994317e-07,0.402228934413656,0.952,0.934,0.00276254655982099,0.402228934413656,"NPC2"
"COL4A2",1.06686308248947e-07,0.430035086604611,0.515,0.281,0.00281406475268248,0.430035086604611,"COL4A2"
"A2M",1.09331764940656e-07,0.861287824518571,0.915,0.816,0.00288384396383969,0.861287824518571,"A2M"
"CYBA",1.14701464871703e-07,0.35734427571896,0.841,0.811,0.00302548053892092,0.35734427571896,"CYBA"
"SELM",1.16385394300272e-07,0.46133130508119,0.876,0.735,0.00306989754545827,0.46133130508119,"SELM"
"FBLN1",1.21072912687428e-07,0.650847866451145,0.854,0.801,0.00319354021795629,0.650847866451145,"FBLN1"
"MFGE8",1.23321519240335e-07,-0.645711541394495,0.435,0.582,0.00325285171300231,-0.645711541394495,"MFGE8"
"FUS",1.28520670160796e-07,0.381902081936739,0.694,0.49,0.00338998971683131,0.381902081936739,"FUS"
"RPL24",1.33977015174692e-07,-0.362709296507499,0.983,0.995,0.00353391172926285,-0.362709296507499,"RPL24"
"ALDH6A1",1.48822835406273e-07,-0.264622314238976,0.107,0.245,0.00392549992951125,-0.264622314238976,"ALDH6A1"
"RPS15A",1.54119919595949e-07,-0.375347898664292,0.99,0.995,0.00406522111918234,-0.375347898664292,"RPS15A"
"BNIP3",1.70935711667976e-07,-0.38943668523739,0.21,0.378,0.00450877126666621,-0.38943668523739,"BNIP3"
"PRELP",1.81735884780266e-07,-0.930639023213049,0.605,0.684,0.00479364743284907,-0.930639023213049,"PRELP"
"FAT4",2.07763951816806e-07,0.415131719174442,0.309,0.133,0.0054801897570719,0.415131719174442,"FAT4"
"RPS16",2.08421386379815e-07,-0.330800413445793,0.974,0.99,0.00549753090854038,-0.330800413445793,"RPS16"
"SPON1",2.13728946861306e-07,0.533118581635823,0.667,0.49,0.00563752843136066,0.533118581635823,"SPON1"
"PHLDA1",2.15329970969246e-07,0.469191902547711,0.403,0.204,0.0056797586442558,0.469191902547711,"PHLDA1"
"CLEC11A",2.42641672069076e-07,0.344277318205507,0.563,0.337,0.00640015938416602,0.344277318205507,"CLEC11A"
"EIF4A1",2.53036417800265e-07,-0.314976719920638,0.189,0.352,0.00667434159231759,-0.314976719920638,"EIF4A1"
"TWSG1",2.80775776812209e-07,0.363748562686099,0.358,0.173,0.00740602266497563,0.363748562686099,"TWSG1"
