,ID,Z_RGES,Z_Up,Z_Down,Penalty,SMILES,GNN_prob,GNN_pred
714,ZINC000015423501,-4.275004519,-2.735594748,1.539409771,0.039285714,c1ccc(CNCc2cccc3[nH]ccc23)cc1,0.7682788,1
715,ZINC000019526351,-4.274297756,-1.569265167,2.705032589,0.026339286,CCN(CC)C[C@@H]1CCCN(C(=O)c2cc(-c3ccccn3)c(N3CCOCC3)s2)C1,0.81819,1
716,ZINC000575614629,-4.274151678,-1.507078186,2.767073493,0.022767857,O=C(/C=C/c1ccoc1)NC[C@@H](c1ccsc1)n1cccn1,0.9772433,1
717,ZINC000009161397,-4.274014338,-1.716755804,2.557258534,0.003571429,Cc1ccnc(N2C(=O)c3oc4ccc(Cl)cc4c(=O)c3[C@H]2c2cccc([N+](=O)[O-])c2)c1,0.20733498,0
718,ZINC000011834911,-4.273646387,-1.494181066,2.779465321,0.003571429,O=C(CCc1csc(NC(=O)c2ccc(F)cc2)n1)Nc1nccs1,0.9869212,1
719,ZINC000015006733,-4.273145394,-2.529924651,1.743220744,0.047767857,CCCCN(C)C(=O)c1sc2ncnc(NCCc3ccc(OC)cc3)c2c1C,0.41104952,0
720,ZINC000408534858,-4.271602583,-0.424879232,3.846723352,0.107738095,CC1=NN(c2ccc(Br)c(C)c2)C(=O)/C1=C\NC12CN3CN(CN(C3)C1)C2,0.9069312,1
721,ZINC000009259575,-4.271569269,-1.826688089,2.44488118,0.03125,Cc1cc(/C=C2/C(=O)NC(=O)N(C3CCCCC3)C2=O)c(C)n1-c1ccc(N(C)C)cc1,0.9243062,1
722,ZINC000003554171,-4.271533314,-1.485490469,2.786042845,0.021130952,Cc1c(Cl)cccc1NC(=O)/C=C/c1cccc(F)c1,0.9802539,1
723,ZINC000225809917,-4.271440957,-1.31276358,2.958677377,0.008779762,COCC1(C(=O)NCCNc2ccc(C(F)(F)F)cn2)CCC1,0.9851527,1
724,ZINC000072120657,-4.271348204,-2.899510885,1.37183732,0.049702381,CC[C@H](Nc1nc(C)nc2c1cnn2C)c1nccs1,0.8870659,1
725,ZINC000408994821,-4.269499586,-1.149932173,3.119567413,0.019196429,Cc1cc([N+](=O)[O-])ccc1-n1c(C)cc(/C=C2/C(=O)NC(=O)N(C)C2=O)c1C,0.9938919,1
726,ZINC000012314148,-4.269303806,-1.416586021,2.852717785,0.017559524,C1CCC(N2CCC(CN(C[C@H]3CCCO3)C3CCOCC3)CC2)C1,0.99956214,1
727,ZINC000016994395,-4.268822591,-1.912513289,2.356309303,0.035119048,CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3s1)=N[C@@]21C(=O)Nc2ccccc21,0.882253,1
728,ZINC000000075987,-4.268733886,-2.266289122,2.002444764,0.010416667,COc1ccccc1NC1(c2ccccc2)C(=O)c2ccccc2C1=O,0.20404339,0
729,ZINC001772702369,-4.268370295,-1.559707399,2.708662896,0.005208333,NCc1nnc(NCC[C@@H]2CCCCN2C2CCCC2)o1,0.9931156,1
730,ZINC000257243165,-4.268358729,-1.31276358,2.955595149,0.038392857,CCn1cc(-c2nccnc2C[C@H]2CCCN(C)C2)cn1,0.88623494,1
731,ZINC000195552470,-4.26750021,-1.666628965,2.600871245,0.017559524,C[C@H](Nc1ccc(CNS(C)(=O)=O)cc1)c1cc(F)ccc1F,0.9467621,1
732,ZINC000002400680,-4.266109597,-1.893799292,2.372310305,0.038690476,CSc1nc(NCCOCCO)c2sc3nc(C(C)C)c4c(c3c2n1)CC(C)(C)OC4,0.9650757,1
733,ZINC001772703399,-4.265665424,-2.463951502,1.801713922,0.015922619,COc1nc(N[C@H](CC(C)C)c2ncnn2C)ncc1F,0.09307469,0
734,ZINC000055271399,-4.264878058,-1.230837474,3.034040585,0.069642857,O=C(c1cc[n+]([O-])cc1)N1CCC[C@H](N2CCN(c3ccc(F)cc3)CC2)C1,0.8591046,1
735,ZINC000006792127,-4.264597337,-0.424879232,3.839718105,0.019196429,CCc1nnc2c(NCCc3ccc(OC)c(OC)c3)nc3ccccc3n12,0.46325,0
736,ZINC000222679798,-4.263935248,0.391461496,4.655396744,0.052380952,CC(C)Oc1ccc(NC(=O)CCCN(c2ccc(F)c(F)c2)S(C)(=O)=O)cc1,0.94586885,1
737,ZINC000095471359,-4.263617995,-1.262600292,3.001017703,0.008779762,O=C(CC[C@@H]1NC(=O)c2ccccc2NC1=O)Nc1cccc(OC(F)(F)F)c1,0.3174267,0
738,ZINC000223917625,-4.262724641,-2.380805304,1.881919337,0.03735119,Cc1ccc(N(CC(=O)NCCOc2ccc(F)cc2)S(=O)(=O)c2ccc(Cl)cc2)cc1,0.84985244,1
739,ZINC000002762618,-4.262684374,-2.400988758,1.861695616,0.038690476,O=C(Nc1cnn(Cc2ccc(F)cc2)c1)c1cc(Cl)ccc1[N+](=O)[O-],0.9887124,1
740,ZINC000001353153,-4.262215088,-1.663198283,2.599016806,0,O=C(Nc1ccc(NC(=O)c2ccccc2)nc1)c1ccncc1,0.8703446,1
741,ZINC000001109945,-4.262140495,-1.248468576,3.013671918,0.048809524,O=C(c1cn(-c2ccccc2)nc1-c1cc2ccccc2oc1=O)n1nnc2ccccc21,0.19634934,0
